# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              5.345133e+04 2.821412e+05 -5.070296e-15 5.307282e+04 2.820871e+05 -4.973764e-15 3.785152e+02 5.408063e+01 -9.653100e-17
2              2.789907e+04 2.660128e+05 5.757198e-16 2.759364e+04 2.660447e+05 7.872837e-16 3.054294e+02 -3.188556e+01 -2.115639e-16
3              -9.524060e+03 8.484025e+04 7.538384e-15 -9.779461e+03 8.482203e+04 7.550468e-15 2.554011e+02 1.822071e+01 -1.208428e-17
4              -1.294742e+04 -5.730913e+04 6.197244e-15 -1.308938e+04 -5.739412e+04 6.125196e-15 1.419562e+02 8.498985e+01 7.204829e-17
5              -4.238271e+03 -6.232724e+04 3.482327e-15 -4.357658e+03 -6.246429e+04 3.449920e-15 1.193872e+02 1.370451e+02 3.240719e-17
6              1.424166e+02 2.097342e+04 3.526690e-15 -1.051449e+02 2.080413e+04 3.625766e-15 2.475616e+02 1.692943e+02 -9.907635e-17
7              -7.072391e+02 9.430355e+04 4.742398e-15 -1.075702e+03 9.415752e+04 4.890400e-15 3.684628e+02 1.460366e+02 -1.480019e-16
8              -7.342912e+02 1.219233e+05 4.103053e-15 -1.154369e+03 1.218437e+05 4.184968e-15 4.200778e+02 7.956843e+01 -8.191471e-17
9              1.134897e+03 1.105415e+05 2.079101e-15 6.998138e+02 1.104930e+05 2.096488e-15 4.350837e+02 4.853982e+01 -1.738735e-17
10             1.542742e+03 7.862821e+04 6.890740e-16 1.093803e+03 7.858223e+04 6.643155e-16 4.489393e+02 4.598219e+01 2.475847e-17
11             -1.515819e+02 5.357126e+04 7.505243e-16 -6.155520e+02 5.352009e+04 7.128919e-16 4.639701e+02 5.116926e+01 3.763245e-17
12             -1.834102e+03 4.769046e+04 1.621549e-15 -2.312954e+03 4.763433e+04 1.596528e-15 4.788526e+02 5.612778e+01 2.502039e-17
13             -2.551604e+03 5.658102e+04 2.521174e-15 -3.039669e+03 5.652218e+04 2.518321e-15 4.880650e+02 5.884079e+01 2.852799e-18
14             -2.417934e+03 7.154536e+04 3.117409e-15 -2.913846e+03 7.148477e+04 3.127879e-15 4.959119e+02 6.059636e+01 -1.046989e-17
15             -1.897847e+03 8.341623e+04 3.366073e-15 -2.405157e+03 8.335648e+04 3.379474e-15 5.073100e+02 5.974905e+01 -1.340097e-17
16             -1.256881e+03 8.813602e+04 3.325375e-15 -1.774956e+03 8.807844e+04 3.337344e-15 5.180754e+02 5.758260e+01 -1.196981e-17
17             -8.781101e+02 8.534381e+04 3.127125e-15 -1.410999e+03 8.528785e+04 3.134405e-15 5.328891e+02 5.595724e+01 -7.280042e-18
18             -1.320085e+03 7.786571e+04 2.958442e-15 -1.861469e+03 7.781155e+04 2.961790e-15 5.413834e+02 5.416337e+01 -3.348353e-18
19             -2.436195e+03 7.085896e+04 3.032121e-15 -2.979968e+03 7.080395e+04 3.030564e-15 5.437731e+02 5.500769e+01 1.556580e-18
20             -3.638111e+03 6.798623e+04 3.414824e-15 -4.178216e+03 6.793086e+04 3.425405e-15 5.401047e+02 5.537177e+01 -1.058071e-17
21             -4.183994e+03 7.113125e+04 4.073428e-15 -4.716733e+03 7.107477e+04 4.100823e-15 5.327392e+02 5.648358e+01 -2.739502e-17
22             -3.817071e+03 7.827694e+04 4.844600e-15 -4.345532e+03 7.822127e+04 4.899310e-15 5.284606e+02 5.566982e+01 -5.470982e-17
23             -3.028517e+03 8.475671e+04 5.509004e-15 -3.554389e+03 8.470148e+04 5.583172e-15 5.258724e+02 5.522294e+01 -7.416845e-17
24             -2.413976e+03 8.698498e+04 5.900732e-15 -2.940908e+03 8.693127e+04 5.985957e-15 5.269319e+02 5.371549e+01 -8.522452e-17
25             -2.387688e+03 8.376943e+04 5.997874e-15 -2.915115e+03 8.371616e+04 6.081764e-15 5.274265e+02 5.326739e+01 -8.389004e-17
26             -2.961148e+03 7.776509e+04 5.901568e-15 -3.486151e+03 7.771256e+04 5.979117e-15 5.250030e+02 5.253497e+01 -7.754809e-17
27             -3.721349e+03 7.307645e+04 5.801090e-15 -4.242272e+03 7.302459e+04 5.871768e-15 5.209238e+02 5.186370e+01 -7.067777e-17
28             -4.345865e+03 7.175026e+04 5.794900e-15 -4.860375e+03 7.169850e+04 5.860316e-15 5.145097e+02 5.175977e+01 -6.541659e-17
29             -4.562110e+03 7.441330e+04 5.887577e-15 -5.071906e+03 7.436166e+04 5.949723e-15 5.097959e+02 5.164929e+01 -6.214596e-17
30             -4.371557e+03 7.878586e+04 6.001675e-15 -4.878812e+03 7.873360e+04 6.064399e-15 5.072555e+02 5.226027e+01 -6.272401e-17
31             -4.083952e+03 8.138040e+04 6.038956e-15 -4.592500e+03 8.132850e+04 6.094501e-15 5.085478e+02 5.190045e+01 -5.554518e-17
32             -3.984668e+03 8.043748e+04 5.936082e-15 -4.497732e+03 8.038685e+04 5.977882e-15 5.130646e+02 5.063784e+01 -4.180051e-17
33             -4.241572e+03 7.564724e+04 5.690457e-15 -4.759963e+03 7.559835e+04 5.722659e-15 5.183907e+02 4.889033e+01 -3.220127e-17
34             -4.811395e+03 6.884233e+04 5.375350e-15 -5.334897e+03 6.879551e+04 5.391965e-15 5.235023e+02 4.682144e+01 -1.661563e-17
35             -5.443296e+03 6.307347e+04 5.063433e-15 -5.970547e+03 6.302769e+04 5.067401e-15 5.272513e+02 4.578248e+01 -3.967802e-18
36             -5.916776e+03 6.003116e+04 4.810139e-15 -6.446130e+03 5.998549e+04 4.804161e-15 5.293548e+02 4.566824e+01 5.977758e-18
37             -6.144043e+03 5.971733e+04 4.624509e-15 -6.675772e+03 5.967145e+04 4.615043e-15 5.317297e+02 4.587996e+01 9.466099e-18
38             -6.170198e+03 6.116803e+04 4.510782e-15 -6.704393e+03 6.112199e+04 4.502985e-15 5.341943e+02 4.603484e+01 7.796325e-18
39             -6.140729e+03 6.288501e+04 4.473311e-15 -6.678268e+03 6.283968e+04 4.467029e-15 5.375393e+02 4.533629e+01 6.281516e-18
40             -6.192971e+03 6.364097e+04 4.505269e-15 -6.734060e+03 6.359671e+04 4.500798e-15 5.410895e+02 4.425688e+01 4.470959e-18
41             -6.367884e+03 6.322760e+04 4.581082e-15 -6.911415e+03 6.318435e+04 4.581798e-15 5.435305e+02 4.325002e+01 -7.156111e-19
42             -6.607547e+03 6.223145e+04 4.672593e-15 -7.152491e+03 6.218889e+04 4.670465e-15 5.449446e+02 4.255962e+01 2.127891e-18
43             -6.800090e+03 6.165537e+04 4.733632e-15 -7.345344e+03 6.161317e+04 4.734764e-15 5.452540e+02 4.219330e+01 -1.131720e-18
44             -6.876179e+03 6.218722e+04 4.769075e-15 -7.421029e+03 6.214512e+04 4.773165e-15 5.448502e+02 4.209914e+01 -4.089992e-18
45             -6.844849e+03 6.390020e+04 4.800088e-15 -7.389036e+03 6.385783e+04 4.806963e-15 5.441867e+02 4.236937e+01 -6.874699e-18
46             -6.758987e+03 6.654943e+04 4.840554e-15 -7.302731e+03 6.650681e+04 4.851787e-15 5.437434e+02 4.261303e+01 -1.123282e-17
47             -6.692372e+03 6.935615e+04 4.885019e-15 -7.236131e+03 6.931342e+04 4.896724e-15 5.437594e+02 4.273623e+01 -1.170479e-17
48             -6.684002e+03 7.160530e+04 4.908242e-15 -7.227984e+03 7.156255e+04 4.920960e-15 5.439824e+02 4.275275e+01 -1.271755e-17
49             -6.718814e+03 7.323136e+04 4.905688e-15 -7.263365e+03 7.318875e+04 4.919646e-15 5.445515e+02 4.260496e+01 -1.395779e-17
50             -6.761786e+03 7.453722e+04 4.895959e-15 -7.307332e+03 7.449485e+04 4.908335e-15 5.455462e+02 4.236966e+01 -1.237635e-17
51             -6.789760e+03 7.571136e+04 4.897127e-15 -7.336723e+03 7.566923e+04 4.909753e-15 5.469636e+02 4.213219e+01 -1.262537e-17
52             -6.810695e+03 7.677943e+04 4.922930e-15 -7.359541e+03 7.673752e+04 4.936539e-15 5.488458e+02 4.190814e+01 -1.360945e-17
53             -6.843474e+03 7.775400e+04 4.974082e-15 -7.394523e+03 7.771223e+04 4.988053e-15 5.510495e+02 4.176825e+01 -1.397103e-17
54             -6.902232e+03 7.857874e+04 5.035924e-15 -7.455498e+03 7.853710e+04 5.050197e-15 5.532654e+02 4.164319e+01 -1.427292e-17
55             -6.987417e+03 7.916152e+04 5.090167e-15 -7.542745e+03 7.912001e+04 5.104949e-15 5.553282e+02 4.150248e+01 -1.478174e-17
56             -7.085595e+03 7.954895e+04 5.127663e-15 -7.642552e+03 7.950757e+04 5.142911e-15 5.569567e+02 4.138117e+01 -1.524760e-17
57             -7.184333e+03 7.987161e+04 5.150135e-15 -7.742557e+03 7.983034e+04 5.165456e-15 5.582239e+02 4.127032e+01 -1.532054e-17
58             -7.275903e+03 8.023807e+04 5.162754e-15 -7.835153e+03 8.019689e+04 5.177840e-15 5.592504e+02 4.117500e+01 -1.508531e-17
59             -7.359024e+03 8.068916e+04 5.170261e-15 -7.919130e+03 8.064805e+04 5.185103e-15 5.601065e+02 4.110625e+01 -1.484269e-17
60             -7.437690e+03 8.122942e+04 5.177672e-15 -7.998521e+03 8.118839e+04 5.192505e-15 5.608301e+02 4.102867e+01 -1.483308e-17
61             -7.514150e+03 8.187144e+04 5.190366e-15 -8.075557e+03 8.183053e+04 5.205455e-15 5.614073e+02 4.090801e+01 -1.508893e-17
62             -7.587090e+03 8.261116e+04 5.211566e-15 -8.148902e+03 8.257041e+04 5.227108e-15 5.618124e+02 4.074679e+01 -1.554233e-17
63             -7.654303e+03 8.338859e+04 5.241343e-15 -8.216338e+03 8.334802e+04 5.257404e-15 5.620348e+02 4.057037e+01 -1.606023e-17
64             -7.716787e+03 8.413423e+04 5.276379e-15 -8.278895e+03 8.409383e+04 5.292836e-15 5.621075e+02 4.039917e+01 -1.645745e-17
65             -7.779720e+03 8.477858e+04 5.310049e-15 -8.341751e+03 8.473835e+04 5.326741e-15 5.620309e+02 4.022895e+01 -1.669199e-17
66             -7.847588e+03 8.529462e+04 5.337143e-15 -8.409432e+03 8.525455e+04 5.353885e-15 5.618440e+02 4.006577e+01 -1.674244e-17
67             -7.922352e+03 8.572788e+04 5.356974e-15 -8.483825e+03 8.568800e+04 5.373748e-15 5.614729e+02 3.988176e+01 -1.677478e-17
68             -8.001688e+03 8.615591e+04 5.372606e-15 -8.562645e+03 8.611621e+04 5.389381e-15 5.609566e+02 3.969847e+01 -1.677543e-17
69             -8.079268e+03 8.661923e+04 5.388396e-15 -8.639505e+03 8.657971e+04 5.405300e-15 5.602374e+02 3.952080e+01 -1.690431e-17
70             -8.147304e+03 8.711920e+04 5.408324e-15 -8.706731e+03 8.707985e+04 5.425310e-15 5.594266e+02 3.935881e+01 -1.698608e-17
71             -8.205284e+03 8.762653e+04 5.432489e-15 -8.763792e+03 8.758734e+04 5.449634e-15 5.585078e+02 3.919346e+01 -1.714439e-17
72             -8.258082e+03 8.812465e+04 5.458661e-15 -8.815682e+03 8.808563e+04 5.475836e-15 5.576002e+02 3.902374e+01 -1.717572e-17
73             -8.314189e+03 8.857565e+04 5.481940e-15 -8.870816e+03 8.853681e+04 5.499160e-15 5.566272e+02 3.884063e+01 -1.721994e-17
74             -8.379460e+03 8.895653e+04 5.499040e-15 -8.935104e+03 8.891787e+04 5.516139e-15 5.556439e+02 3.865850e+01 -1.709857e-17
75             -8.453102e+03 8.929245e+04 5.510632e-15 -9.007623e+03 8.925398e+04 5.527643e-15 5.545208e+02 3.847412e+01 -1.701084e-17
76             -8.526989e+03 8.963555e+04 5.520751e-15 -9.080320e+03 8.959725e+04 5.537580e-15 5.533304e+02 3.830366e+01 -1.682880e-17
77             -8.593187e+03 9.000995e+04 5.532809e-15 -9.145195e+03 8.997180e+04 5.549571e-15 5.520087e+02 3.814095e+01 -1.676165e-17
78             -8.648004e+03 9.042826e+04 5.548690e-15 -9.198690e+03 9.039026e+04 5.565314e-15 5.506864e+02 3.799278e+01 -1.662380e-17
79             -8.694522e+03 9.087292e+04 5.568164e-15 -9.243843e+03 9.083507e+04 5.584746e-15 5.493208e+02 3.784462e+01 -1.658128e-17
80             -8.740828e+03 9.128503e+04 5.588116e-15 -9.288841e+03 9.124733e+04 5.604531e-15 5.480126e+02 3.769933e+01 -1.641503e-17
81             -8.794964e+03 9.162205e+04 5.604862e-15 -9.341622e+03 9.158451e+04 5.621122e-15 5.466585e+02 3.754320e+01 -1.626026e-17
82             -8.857073e+03 9.190636e+04 5.618232e-15 -9.402374e+03 9.186898e+04 5.634212e-15 5.453015e+02 3.738660e+01 -1.598010e-17
83             -8.922469e+03 9.217656e+04 5.629242e-15 -9.466313e+03 9.213933e+04 5.645001e-15 5.438437e+02 3.723102e+01 -1.575879e-17
84             -8.984915e+03 9.247335e+04 5.639971e-15 -9.527284e+03 9.243625e+04 5.655438e-15 5.423685e+02 3.709327e+01 -1.546717e-17
85             -9.039412e+03 9.278975e+04 5.652135e-15 -9.580239e+03 9.275279e+04 5.667395e-15 5.408261e+02 3.696598e+01 -1.526005e-17
86             -9.085076e+03 9.312216e+04 5.666819e-15 -9.624404e+03 9.308531e+04 5.681793e-15 5.393282e+02 3.684806e+01 -1.497448e-17
87             -9.129167e+03 9.339107e+04 5.681238e-15 -9.666983e+03 9.335435e+04 5.695950e-15 5.378163e+02 3.672046e+01 -1.471290e-17
88             -9.175089e+03 9.363156e+04 5.694624e-15 -9.711446e+03 9.359497e+04 5.708956e-15 5.363562e+02 3.658771e+01 -1.433249e-17
89             -9.225356e+03 9.385289e+04 5.705812e-15 -9.760204e+03 9.381644e+04 5.719801e-15 5.348473e+02 3.644945e+01 -1.398949e-17
90             -9.279189e+03 9.408728e+04 5.715605e-15 -9.812532e+03 9.405096e+04 5.729158e-15 5.333428e+02 3.632315e+01 -1.355315e-17
91             -9.334162e+03 9.434278e+04 5.724634e-15 -9.865928e+03 9.430657e+04 5.737807e-15 5.317661e+02 3.620666e+01 -1.317276e-17
92             -9.384818e+03 9.460478e+04 5.733047e-15 -9.915024e+03 9.456868e+04 5.745754e-15 5.302057e+02 3.610354e+01 -1.270669e-17
93             -9.429423e+03 9.481783e+04 5.742355e-15 -9.958034e+03 9.478183e+04 5.754640e-15 5.286106e+02 3.599375e+01 -1.228580e-17
94             -9.469213e+03 9.501843e+04 5.752026e-15 -9.996285e+03 9.498255e+04 5.763786e-15 5.270725e+02 3.587976e+01 -1.175957e-17
95             -9.507692e+03 9.521899e+04 5.761782e-15 -1.003321e+04 9.518323e+04 5.773069e-15 5.255141e+02 3.575899e+01 -1.128711e-17
96             -9.547636e+03 9.542819e+04 5.771324e-15 -1.007164e+04 9.539254e+04 5.782035e-15 5.239999e+02 3.564832e+01 -1.071161e-17
97             -9.590612e+03 9.563194e+04 5.779899e-15 -1.011305e+04 9.559640e+04 5.790066e-15 5.224388e+02 3.554363e+01 -1.016715e-17
98             -9.635017e+03 9.582490e+04 5.787481e-15 -1.015592e+04 9.578945e+04 5.796983e-15 5.209037e+02 3.544839e+01 -9.502249e-18
99             -9.678463e+03 9.600253e+04 5.794280e-15 -1.019778e+04 9.596718e+04 5.803124e-15 5.193184e+02 3.534912e+01 -8.844019e-18
100            -9.717896e+03 9.616934e+04 5.800765e-15 -1.023567e+04 9.613409e+04 5.808842e-15 5.177773e+02 3.525165e+01 -8.077147e-18
101            -9.753315e+03 9.632755e+04 5.807103e-15 -1.026952e+04 9.629240e+04 5.814443e-15 5.162095e+02 3.514954e+01 -7.339665e-18
102            -9.785933e+03 9.648916e+04 5.813788e-15 -1.030064e+04 9.645411e+04 5.820262e-15 5.147047e+02 3.505435e+01 -6.474228e-18
103            -9.818374e+03 9.665159e+04 5.820702e-15 -1.033155e+04 9.661663e+04 5.826334e-15 5.131715e+02 3.495962e+01 -5.632542e-18
104            -9.851433e+03 9.680678e+04 5.827413e-15 -1.036313e+04 9.677190e+04 5.832055e-15 5.116927e+02 3.487291e+01 -4.641597e-18
105            -9.885283e+03 9.694272e+04 5.833330e-15 -1.039545e+04 9.690794e+04 5.836973e-15 5.101712e+02 3.478229e+01 -3.642925e-18
106            -9.918344e+03 9.707114e+04 5.838819e-15 -1.042704e+04 9.703645e+04 5.841281e-15 5.087008e+02 3.469497e+01 -2.461526e-18
107            -9.950117e+03 9.719952e+04 5.844105e-15 -1.045731e+04 9.716492e+04 5.845366e-15 5.071901e+02 3.460374e+01 -1.260430e-18
108            -9.979042e+03 9.732975e+04 5.849402e-15 -1.048479e+04 9.729523e+04 5.849276e-15 5.057437e+02 3.452014e+01 1.268098e-19
109            -1.000573e+04 9.744963e+04 5.854508e-15 -1.050999e+04 9.741519e+04 5.852962e-15 5.042682e+02 3.443444e+01 1.545208e-18
110            -1.003074e+04 9.756277e+04 5.859748e-15 -1.053361e+04 9.752841e+04 5.856563e-15 5.028648e+02 3.435368e+01 3.184147e-18
111            -1.005562e+04 9.766851e+04 5.865036e-15 -1.055705e+04 9.763424e+04 5.860142e-15 5.014268e+02 3.426760e+01 4.893702e-18
112            -1.008009e+04 9.777825e+04 5.870498e-15 -1.058015e+04 9.774406e+04 5.863644e-15 5.000543e+02 3.418691e+01 6.853664e-18
113            -1.010400e+04 9.786529e+04 5.875568e-15 -1.060264e+04 9.783119e+04 5.866656e-15 4.986408e+02 3.410208e+01 8.912598e-18
114            -1.012680e+04 9.795525e+04 5.880850e-15 -1.062410e+04 9.792122e+04 5.869554e-15 4.972958e+02 3.402324e+01 1.129687e-17
115            -1.014852e+04 9.805087e+04 5.886027e-15 -1.064443e+04 9.801692e+04 5.872243e-15 4.959133e+02 3.394112e+01 1.378441e-17
116            -1.016818e+04 9.813882e+04 5.891319e-15 -1.066279e+04 9.810496e+04 5.874730e-15 4.946095e+02 3.386442e+01 1.658883e-17
117            -1.018668e+04 9.820741e+04 5.896612e-15 -1.067995e+04 9.817363e+04 5.876993e-15 4.932697e+02 3.378152e+01 1.961885e-17
118            -1.020395e+04 9.827742e+04 5.902492e-15 -1.069596e+04 9.824372e+04 5.879439e-15 4.920107e+02 3.370237e+01 2.305277e-17
119            -1.022085e+04 9.835096e+04 5.908709e-15 -1.071156e+04 9.831734e+04 5.882035e-15 4.907099e+02 3.361832e+01 2.667334e-17
120            -1.023661e+04 9.842060e+04 5.914945e-15 -1.072610e+04 9.838706e+04 5.884664e-15 4.894915e+02 3.354112e+01 3.028081e-17
121            -1.025187e+04 9.847800e+04 5.917882e-15 -1.074010e+04 9.844454e+04 5.886902e-15 4.882219e+02 3.346664e+01 3.097949e-17
122            -1.026608e+04 9.853216e+04 5.921172e-15 -1.075311e+04 9.849875e+04 5.888942e-15 4.870371e+02 3.340360e+01 3.223079e-17
123            -1.027977e+04 9.858085e+04 5.923675e-15 -1.076557e+04 9.854751e+04 5.890689e-15 4.857974e+02 3.334454e+01 3.298602e-17
124            -1.029193e+04 9.863132e+04 5.926502e-15 -1.077658e+04 9.859802e+04 5.892659e-15 4.846493e+02 3.329636e+01 3.384296e-17
125            -1.030331e+04 9.867227e+04 5.929180e-15 -1.078676e+04 9.863902e+04 5.894626e-15 4.834455e+02 3.324556e+01 3.455345e-17
126            -1.031318e+04 9.871836e+04 5.932381e-15 -1.079553e+04 9.868516e+04 5.897043e-15 4.823466e+02 3.320188e+01 3.533808e-17
127            -1.032259e+04 9.875634e+04 5.932912e-15 -1.080377e+04 9.872318e+04 5.899244e-15 4.811855e+02 3.315906e+01 3.366840e-17
128            -1.033098e+04 9.879264e+04 5.932714e-15 -1.081112e+04 9.875952e+04 5.901389e-15 4.801316e+02 3.312502e+01 3.132568e-17
129            -1.033950e+04 9.881970e+04 5.931733e-15 -1.081851e+04 9.878661e+04 5.902701e-15 4.790101e+02 3.308832e+01 2.903170e-17
130            -1.034707e+04 9.884510e+04 5.930704e-15 -1.082507e+04 9.881204e+04 5.903954e-15 4.780009e+02 3.305974e+01 2.675004e-17
131            -1.035444e+04 9.886663e+04 5.928839e-15 -1.083136e+04 9.883360e+04 5.904638e-15 4.769208e+02 3.302776e+01 2.420158e-17
132            -1.036026e+04 9.889089e+04 5.928034e-15 -1.083621e+04 9.885789e+04 5.905588e-15 4.759563e+02 3.300246e+01 2.244594e-17
133            -1.036533e+04 9.890920e+04 5.926734e-15 -1.084025e+04 9.887623e+04 5.906330e-15 4.749211e+02 3.297350e+01 2.040363e-17
134            -1.036914e+04 9.892733e+04 5.926052e-15 -1.084314e+04 9.889438e+04 5.907407e-15 4.740041e+02 3.295097e+01 1.864450e-17
135            -1.037265e+04 9.893821e+04 5.924495e-15 -1.084567e+04 9.890528e+04 5.908079e-15 4.730128e+02 3.292889e+01 1.641565e-17
136            -1.037566e+04 9.894970e+04 5.923348e-15 -1.084780e+04 9.891678e+04 5.908606e-15 4.721372e+02 3.291986e+01 1.474179e-17
137            -1.037908e+04 9.895442e+04 5.921381e-15 -1.085026e+04 9.892150e+04 5.908361e-15 4.711817e+02 3.291059e+01 1.301971e-17
138            -1.038163e+04 9.896120e+04 5.919735e-15 -1.085197e+04 9.892829e+04 5.908142e-15 4.703386e+02 3.290833e+01 1.159272e-17
139            -1.038389e+04 9.896133e+04 5.917752e-15 -1.085331e+04 9.892843e+04 5.907536e-15 4.694160e+02 3.290039e+01 1.021618e-17
140            -1.038471e+04 9.896412e+04 5.916228e-15 -1.085332e+04 9.893122e+04 5.907330e-15 4.686099e+02 3.289755e+01 8.898391e-18
141            -1.038514e+04 9.896103e+04 5.914698e-15 -1.085287e+04 9.892814e+04 5.906889e-15 4.677288e+02 3.288942e+01 7.809354e-18
142            -1.038448e+04 9.896024e+04 5.913628e-15 -1.085145e+04 9.892735e+04 5.906869e-15 4.669692e+02 3.288725e+01 6.759689e-18
