# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              7.345746e+01 1.768486e+03 4.995498e-18 8.295416e+01 1.774449e+03 1.031218e-17 -9.496702e+00 -5.962790e+00 -5.316677e-18
2              2.398910e+01 1.563155e+03 1.923531e-17 3.143633e+01 1.571138e+03 1.916548e-17 -7.447227e+00 -7.982492e+00 6.983235e-20
3              -6.491375e+01 4.894038e+01 3.092212e-17 -5.897115e+01 5.297929e+01 3.079844e-17 -5.942603e+00 -4.038903e+00 1.236822e-19
4              -5.348288e+01 -8.326512e+02 1.952393e-17 -4.809928e+01 -8.338108e+02 1.825452e-17 -5.383601e+00 1.159623e+00 1.269412e-18
5              -2.479149e+01 -6.819318e+02 9.890684e-18 -2.060100e+01 -6.885331e+02 8.548036e-18 -4.190488e+00 6.601310e+00 1.342647e-18
6              -1.624094e+00 3.917214e+01 -1.821268e-18 1.731291e+00 3.454775e+01 -2.383399e-18 -3.355384e+00 4.624386e+00 5.621304e-19
7              -4.827990e+00 7.717507e+02 9.918138e-19 -2.638932e+00 7.733948e+02 3.327199e-18 -2.189058e+00 -1.644181e+00 -2.335386e-18
8              -3.032998e+01 7.766246e+02 1.172238e-17 -2.798732e+01 7.805266e+02 1.308556e-17 -2.342664e+00 -3.902008e+00 -1.363178e-18
9              -3.055613e+01 4.056356e+02 1.601099e-17 -2.749797e+01 4.087372e+02 1.599588e-17 -3.058154e+00 -3.101636e+00 1.510591e-20
10             3.281875e+00 1.018915e+02 4.757226e-18 6.520482e+00 1.014375e+02 4.634929e-18 -3.238607e+00 4.539953e-01 1.222966e-19
11             9.866615e+00 6.355237e+01 -1.320629e-18 1.200535e+01 5.786583e+01 -1.768014e-18 -2.138735e+00 5.686539e+00 4.473850e-19
12             -1.702925e+01 1.905926e+02 3.319228e-18 -1.602559e+01 1.861282e+02 2.032858e-18 -1.003655e+00 4.464335e+00 1.286370e-18
13             -4.050664e+01 3.372884e+02 5.470687e-18 -3.940316e+01 3.361707e+02 5.158291e-18 -1.103482e+00 1.117671e+00 3.123959e-19
14             -5.502948e+01 3.482693e+02 1.228366e-17 -5.389791e+01 3.513602e+02 1.262949e-17 -1.131568e+00 -3.090924e+00 -3.458344e-19
15             -4.554600e+01 2.541345e+02 1.369285e-17 -4.368549e+01 2.596361e+02 1.469801e-17 -1.860512e+00 -5.501676e+00 -1.005163e-18
16             -1.513306e+01 1.817824e+02 1.437727e-17 -1.302131e+01 1.831980e+02 1.524391e-17 -2.111746e+00 -1.415608e+00 -8.666428e-19
17             -1.244775e-02 2.658949e+02 8.742441e-18 1.950558e+00 2.626342e+02 9.254219e-18 -1.963006e+00 3.260698e+00 -5.117772e-19
18             -1.058858e+00 3.692636e+02 5.285410e-18 3.213037e-01 3.660308e+02 5.386361e-18 -1.380161e+00 3.232819e+00 -1.009506e-19
19             -1.717010e+01 4.103793e+02 5.592627e-18 -1.626969e+01 4.087125e+02 5.185482e-18 -9.004072e-01 1.666796e+00 4.071448e-19
20             -2.908162e+01 3.645905e+02 6.053992e-18 -2.855728e+01 3.649115e+02 6.035194e-18 -5.243473e-01 -3.210190e-01 1.879844e-20
21             -2.903756e+01 2.792715e+02 7.259013e-18 -2.853721e+01 2.809203e+02 6.866457e-18 -5.003448e-01 -1.648768e+00 3.925556e-19
