# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -4.232118e+04 8.017700e+03 1.563035e+05 -4.231307e+04 7.960922e+03 1.562849e+05 -8.112095e+00 5.677728e+01 1.857308e+01
2              -3.990192e+04 4.184861e+03 1.395764e+05 -3.990670e+04 4.139046e+03 1.395694e+05 4.782835e+00 4.581441e+01 6.998148e+00
3              -1.272604e+04 -1.428609e+03 3.040185e+04 -1.272330e+04 -1.466919e+03 3.037710e+04 -2.733107e+00 3.831016e+01 2.474991e+01
4              8.596369e+03 -1.942114e+03 -4.932351e+04 8.609118e+03 -1.963407e+03 -4.937735e+04 -1.274848e+01 2.129343e+01 5.384112e+01
5              9.349087e+03 -6.357407e+02 -4.464475e+04 9.369643e+03 -6.536488e+02 -4.472741e+04 -2.055677e+01 1.790809e+01 8.265813e+01
6              -3.146013e+03 2.136250e+01 1.178113e+04 -3.120619e+03 -1.577174e+01 1.168523e+04 -2.539414e+01 3.713424e+01 9.589331e+01
7              -1.414553e+04 -1.060859e+02 5.261810e+04 -1.412363e+04 -1.613553e+02 5.253819e+04 -2.190549e+01 5.526942e+01 7.991078e+01
8              -1.828849e+04 -1.101437e+02 6.099835e+04 -1.827655e+04 -1.731553e+02 6.094686e+04 -1.193526e+01 6.301166e+01 5.148725e+01
9              -1.658123e+04 1.702346e+02 4.676095e+04 -1.657395e+04 1.049721e+02 4.672685e+04 -7.280974e+00 6.526255e+01 3.410467e+01
10             -1.179423e+04 2.314113e+02 2.499268e+04 -1.178733e+04 1.640704e+02 2.496266e+04 -6.897328e+00 6.734089e+01 3.001283e+01
11             -8.035689e+03 -2.273729e+01 1.134709e+04 -8.028013e+03 -9.233280e+01 1.131549e+04 -7.675390e+00 6.959551e+01 3.159244e+01
12             -7.153569e+03 -2.751153e+02 1.072704e+04 -7.145150e+03 -3.469432e+02 1.069364e+04 -8.419168e+00 7.182789e+01 3.339810e+01
13             -8.487154e+03 -3.827406e+02 1.852002e+04 -8.478327e+03 -4.559503e+02 1.848815e+04 -8.826118e+00 7.320976e+01 3.187174e+01
14             -1.073180e+04 -3.626901e+02 2.850537e+04 -1.072272e+04 -4.370769e+02 2.847696e+04 -9.089454e+00 7.438679e+01 2.841498e+01
15             -1.251243e+04 -2.846770e+02 3.496326e+04 -1.250347e+04 -3.607735e+02 3.493918e+04 -8.962357e+00 7.609650e+01 2.408022e+01
16             -1.322040e+04 -1.885321e+02 3.593109e+04 -1.321177e+04 -2.662434e+02 3.591001e+04 -8.637389e+00 7.771131e+01 2.107600e+01
17             -1.280157e+04 -1.317165e+02 3.204117e+04 -1.279318e+04 -2.116499e+02 3.202181e+04 -8.393586e+00 7.993336e+01 1.935506e+01
18             -1.167986e+04 -1.980128e+02 2.609207e+04 -1.167173e+04 -2.792203e+02 2.607365e+04 -8.124506e+00 8.120750e+01 1.842093e+01
19             -1.062884e+04 -3.654292e+02 2.178684e+04 -1.062059e+04 -4.469952e+02 2.176786e+04 -8.251154e+00 8.156597e+01 1.897667e+01
20             -1.019793e+04 -5.457167e+02 2.118445e+04 -1.018963e+04 -6.267324e+02 2.116534e+04 -8.305765e+00 8.101570e+01 1.910921e+01
21             -1.066969e+04 -6.275991e+02 2.462117e+04 -1.066122e+04 -7.075099e+02 2.460187e+04 -8.472537e+00 7.991087e+01 1.930378e+01
22             -1.174154e+04 -5.725607e+02 2.977668e+04 -1.173319e+04 -6.518298e+02 2.975876e+04 -8.350473e+00 7.926909e+01 1.791296e+01
23             -1.271351e+04 -4.542775e+02 3.330955e+04 -1.270522e+04 -5.331584e+02 3.329294e+04 -8.283442e+00 7.888086e+01 1.660958e+01
24             -1.304775e+04 -3.620964e+02 3.332317e+04 -1.303969e+04 -4.411362e+02 3.330841e+04 -8.057324e+00 7.903978e+01 1.476178e+01
25             -1.256541e+04 -3.581532e+02 2.996028e+04 -1.255742e+04 -4.372672e+02 2.994623e+04 -7.990108e+00 7.911398e+01 1.404898e+01
26             -1.166476e+04 -4.441722e+02 2.569129e+04 -1.165688e+04 -5.229227e+02 2.567748e+04 -7.880246e+00 7.875044e+01 1.381133e+01
27             -1.096147e+04 -5.582023e+02 2.320069e+04 -1.095369e+04 -6.363409e+02 2.318675e+04 -7.779556e+00 7.813856e+01 1.393838e+01
28             -1.076254e+04 -6.518798e+02 2.338128e+04 -1.075478e+04 -7.290562e+02 2.336683e+04 -7.763965e+00 7.717646e+01 1.445410e+01
29             -1.116200e+04 -6.843165e+02 2.591700e+04 -1.115425e+04 -7.607859e+02 2.590254e+04 -7.747394e+00 7.646939e+01 1.445888e+01
30             -1.181788e+04 -6.557335e+02 2.877066e+04 -1.181004e+04 -7.318218e+02 2.875626e+04 -7.839040e+00 7.608832e+01 1.440468e+01
