# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -1.001083e+04 6.381004e+02 3.553327e+04 -1.002616e+04 6.720795e+02 3.559831e+04 1.533306e+01 -3.397912e+01 -6.504029e+01
2              -9.132830e+03 3.054696e+02 3.127671e+04 -9.152488e+03 3.330556e+02 3.132972e+04 1.965789e+01 -2.758596e+01 -5.300856e+01
3              -1.510285e+03 -3.488426e+02 2.364679e+03 -1.521727e+03 -3.250490e+02 2.390737e+03 1.144154e+01 -2.379365e+01 -2.605783e+01
4              3.589937e+03 -3.196400e+02 -1.675081e+04 3.589373e+03 -2.972764e+02 -1.675810e+04 5.638163e-01 -2.236357e+01 7.286483e+00
5              3.306318e+03 -1.282109e+02 -1.489973e+04 3.320320e+03 -1.102198e+02 -1.493923e+04 -1.400203e+01 -1.799109e+01 3.949910e+01
6              -6.016933e+01 1.162229e+01 -2.117923e+03 -4.770278e+01 2.569226e+01 -2.155882e+03 -1.246655e+01 -1.406997e+01 3.795962e+01
7              -3.611701e+03 9.284570e+00 1.162821e+04 -3.610631e+03 2.126943e+01 1.161001e+04 -1.070057e+00 -1.198486e+01 1.819551e+01
8              -4.394076e+03 -1.151974e+02 1.496113e+04 -4.403647e+03 -1.051686e+02 1.495764e+04 9.571453e+00 -1.002880e+01 3.491167e+00
9              -3.138455e+03 -1.096920e+02 1.103739e+04 -3.145557e+03 -9.960688e+01 1.103584e+04 7.101152e+00 -1.008512e+01 1.555146e+00
10             -1.684334e+03 5.910732e+00 4.002330e+03 -1.684163e+03 1.576319e+01 3.993466e+03 -1.716883e-01 -9.852462e+00 8.863273e+00
11             -1.175005e+03 -1.445251e+01 8.833233e+01 -1.161612e+03 -7.765891e+00 6.142485e+01 -1.339330e+01 -6.686622e+00 2.690748e+01
12             -1.346520e+03 -1.229515e+02 -1.544068e+02 -1.334562e+03 -1.188705e+02 -1.757346e+02 -1.195864e+01 -4.080978e+00 2.132782e+01
13             -1.729665e+03 -1.800060e+02 1.740779e+03 -1.726335e+03 -1.766775e+02 1.732997e+03 -3.330800e+00 -3.328548e+00 7.781616e+00
14             -1.799743e+03 -2.039774e+02 3.185849e+03 -1.804901e+03 -2.008474e+02 3.186747e+03 5.158458e+00 -3.129950e+00 -8.972693e-01
15             -1.849852e+03 -2.038502e+02 5.132232e+03 -1.858646e+03 -2.002924e+02 5.134002e+03 8.794156e+00 -3.557775e+00 -1.770464e+00
16             -2.099237e+03 -8.916007e+01 6.054510e+03 -2.101821e+03 -8.479069e+01 6.049561e+03 2.583776e+00 -4.369385e+00 4.949149e+00
17             -2.458744e+03 -4.909900e+01 6.170739e+03 -2.453118e+03 -4.536949e+01 6.154104e+03 -5.625537e+00 -3.729514e+00 1.663535e+01
18             -2.652851e+03 -7.550564e+01 5.705095e+03 -2.640544e+03 -7.431716e+01 5.685169e+03 -1.230700e+01 -1.188482e+00 1.992552e+01
19             -2.684556e+03 -1.365474e+02 4.674333e+03 -2.677002e+03 -1.356616e+02 4.664207e+03 -7.554522e+00 -8.857646e-01 1.012645e+01
20             -2.458063e+03 -1.390445e+02 4.031617e+03 -2.455892e+03 -1.378426e+02 4.028408e+03 -2.170601e+00 -1.201920e+00 3.208412e+00
21             -1.886417e+03 -1.433172e+02 3.148340e+03 -1.891415e+03 -1.430818e+02 3.151113e+03 4.998445e+00 -2.353849e-01 -2.773611e+00
22             -1.515038e+03 -1.086498e+02 2.821935e+03 -1.518792e+03 -1.075753e+02 2.821358e+03 3.754083e+00 -1.074503e+00 5.767800e-01
23             -1.590570e+03 -7.951648e+01 3.219491e+03 -1.590658e+03 -7.732306e+01 3.212738e+03 8.837600e-02 -2.193415e+00 6.753254e+00
