# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 7.300000e+00
# lRef        : 3.190000e-01
# Aref        : 1.595000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	9.765568e+01	-6.715812e+02	7.692369e+02	1.532070e+03	-1.791045e+03	3.323115e+03	-2.557080e+03	-7.204091e+02	4.591960e+01	-2.027736e-18	4.591960e+01	-4.591960e+01
2             	4.674945e+01	-6.338508e+02	6.806003e+02	1.397700e+03	-1.551915e+03	2.949615e+03	-2.250765e+03	-6.572255e+02	2.198250e+01	-1.327164e-17	2.198250e+01	-2.198250e+01
3             	-5.338731e+01	-1.353783e+02	8.199096e+01	2.311360e+02	-5.460136e+01	2.857373e+02	-1.701693e+02	-1.086846e+02	-2.510375e+01	-2.773632e-17	-2.510375e+01	2.510375e+01
4             	-4.891810e+01	2.338835e+02	-2.828016e+02	-5.494084e+02	9.307340e+02	-1.480142e+03	1.205438e+03	2.583425e+02	-2.300224e+01	-1.732272e-17	-2.300224e+01	2.300224e+01
5             	-1.962156e+01	2.281217e+02	-2.477432e+02	-5.060030e+02	8.192274e+02	-1.325230e+03	1.072229e+03	2.379325e+02	-9.226438e+00	-6.652591e-18	-9.226438e+00	9.226438e+00
6             	1.778690e+00	-3.440618e+00	5.219308e+00	9.208389e+00	1.570162e+02	-1.478078e+02	1.524120e+02	-4.329963e+00	8.363746e-01	1.092569e-19	8.363746e-01	-8.363746e-01
7             	1.420922e+00	-2.591982e+02	2.606191e+02	5.527391e+02	-5.604308e+02	1.113170e+03	-8.368003e+02	-2.599087e+02	6.681452e-01	-8.110467e-18	6.681452e-01	-6.681452e-01
8             	-1.762995e+01	-3.250257e+02	3.073957e+02	6.724748e+02	-7.404101e+02	1.412885e+03	-1.076648e+03	-3.162107e+02	-8.289944e+00	-1.221799e-17	-8.289944e+00	8.289944e+00
9             	-1.678740e+01	-2.342463e+02	2.174589e+02	4.803131e+02	-5.541268e+02	1.034440e+03	-7.942834e+02	-2.258526e+02	-7.893761e+00	-9.872023e-18	-7.893761e+00	7.893761e+00
10            	9.045858e-01	-1.207574e+02	1.216620e+02	2.577726e+02	-1.591332e+02	4.169058e+02	-2.880195e+02	-1.212097e+02	4.253538e-01	-2.677932e-18	4.253538e-01	-4.253538e-01
11            	-2.211830e+00	-8.566276e+01	8.345093e+01	1.798242e+02	8.355545e+01	9.626877e+01	-6.356656e+00	-8.455684e+01	-1.040046e+00	-1.235745e-18	-1.040046e+00	1.040046e+00
12            	-1.881665e+01	-1.063079e+02	8.749128e+01	2.060732e+02	1.141481e+02	9.192501e+01	1.111157e+01	-9.689960e+01	-8.847952e+00	-3.749156e-18	-8.847952e+00	8.847952e+00
13            	-2.754834e+01	-1.382460e+02	1.106977e+02	2.647101e+02	7.083458e+00	2.576267e+02	-1.252716e+02	-1.244718e+02	-1.295377e+01	-6.050711e-18	-1.295377e+01	1.295377e+01
14            	-3.121695e+01	-1.451233e+02	1.139063e+02	2.754348e+02	-9.154576e+01	3.669806e+02	-2.292632e+02	-1.295148e+02	-1.467881e+01	-8.974359e-18	-1.467881e+01	1.467881e+01
15            	-3.119749e+01	-1.487196e+02	1.175221e+02	2.831036e+02	-2.277788e+02	5.108824e+02	-3.693306e+02	-1.331208e+02	-1.466966e+01	-1.230476e-17	-1.466966e+01	1.466966e+01
16            	-1.364517e+01	-1.578899e+02	1.442447e+02	3.212698e+02	-2.750656e+02	5.963354e+02	-4.357005e+02	-1.510673e+02	-6.416223e+00	-1.032512e-17	-6.416223e+00	6.416223e+00
17            	-7.514172e+00	-1.806956e+02	1.731814e+02	3.762892e+02	-2.559201e+02	6.322093e+02	-4.440647e+02	-1.769385e+02	-3.533310e+00	-7.887260e-18	-3.533310e+00	3.533310e+00
18            	-1.155548e+01	-1.966848e+02	1.851293e+02	4.059956e+02	-2.075577e+02	6.135533e+02	-4.105555e+02	-1.909070e+02	-5.433610e+00	-7.356128e-18	-5.433610e+00	5.433610e+00
19            	-2.089738e+01	-2.036373e+02	1.827399e+02	4.108478e+02	-1.309550e+02	5.418028e+02	-3.363789e+02	-1.931886e+02	-9.826356e+00	-8.358395e-18	-9.826356e+00	9.826356e+00
20            	-2.127955e+01	-1.875293e+02	1.662497e+02	3.761850e+02	-1.020346e+02	4.782196e+02	-2.901271e+02	-1.768895e+02	-1.000606e+01	-7.959814e-18	-1.000606e+01	1.000606e+01
21            	-2.193344e+01	-1.467189e+02	1.247854e+02	2.886996e+02	-8.221408e+01	3.709136e+02	-2.265639e+02	-1.357521e+02	-1.031353e+01	-9.329079e-18	-1.031353e+01	1.031353e+01
22            	-1.662790e+01	-1.173406e+02	1.007127e+02	2.318633e+02	-8.714311e+01	3.190064e+02	-2.030748e+02	-1.090266e+02	-7.818762e+00	-9.883478e-18	-7.818762e+00	7.818762e+00
23            	-1.216930e+01	-1.205468e+02	1.083775e+02	2.434227e+02	-1.099727e+02	3.533955e+02	-2.316841e+02	-1.144621e+02	-5.722241e+00	-9.173996e-18	-5.722241e+00	5.722241e+00
